all_order_id,all_order_type,custLkp,all_datetime,all_store,all_tender_amt,all_card_method,scanandgo_order_id,scanandgo_datetime,scanandgo_store,scanandgo_tender_amt,scanandgo_card_method
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,76277d65-a89b-4b99-9010-b4cbb0762858,2025-02-11T21:46:03-06:00,5516,18.75,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,ce087916-8efc-428a-80c5-f13e70ac41df,2025-02-11T23:12:24-06:00,5516,87.13999938964844,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,ce087916-8efc-428a-80c5-f13e70ac41df,2025-02-11T23:12:24-06:00,5516,87.13999938964844,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,72abd1dc-75c8-474d-b041-986e564414e7,2025-02-11T15:57:56-06:00,5516,18.75,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,3cdce5a7-6770-4f3a-8262-671a6919a1ec,2025-02-11T18:06:39-06:00,5516,16.459999084472656,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,5d5e4909-bbcb-4966-9275-1f2e1890f277,2025-02-11T18:19:50-06:00,5516,115.80000305175781,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,d4cb10e8-7c59-4369-97ba-9d5916b6daa8,2025-02-11T19:19:13-06:00,5516,32.779998779296875,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,832585f6-1ba6-4bec-8123-19235718ac5a,2025-02-11T18:06:16-06:00,5516,146.38999938964844,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,832585f6-1ba6-4bec-8123-19235718ac5a,2025-02-11T18:06:16-06:00,5516,146.38999938964844,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,832585f6-1ba6-4bec-8123-19235718ac5a,2025-02-11T18:06:16-06:00,5516,146.38999938964844,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,c999e53b-13bb-4b75-ae4a-f431bb690246,2025-02-11T18:09:59-06:00,5516,2.0,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,c999e53b-13bb-4b75-ae4a-f431bb690246,2025-02-11T18:09:59-06:00,5516,63.75,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,5a42e5d0-2fe8-401a-ad5a-56109d8bc290,2025-02-11T18:16:05-06:00,5516,2.0,SCAN_AND_GO
350488cb-df2b-4b0c-979c-ed861e534d96,sales_order,AC80EB19D076853BFE1DEDF428614126209534034019,2023-09-26T16:25:43-05:00,5582,20.0,STORED,5a42e5d0-2fe8-401a-ad5a-56109d8bc290,2025-02-11T18:16:05-06:00,5516,2.0,SCAN_AND_GO
